title,label
"KPK Panggil Sekjen PDI-P Hasto Kristiyanto sebagai Saksi Kasus Harun Masiku",real
"Rupiah Melemah ke Rp 16.290 Per Dollar AS, Ini Penyebabnya",real
"BMKG Prediksi Cuaca Jabodetabek Hari Ini: Mayoritas Cerah Berawan",real
"Polri Ungkap Hasil Autopsi Jasad Vina dan Eky, Ada Luka Senjata Tajam",real
"Timnas Indonesia U-20 Kalah dari Ukraina di Turnamen Toulon 2024",real
"Pemerintah Resmi Tetapkan Idul Adha 1446 H Jatuh pada 17 Juni 2025",real
"KPU Mulai Verifikasi Faktual Dukungan Calon Independen di Pilkada 2024",real
"Harga Emas Antam Hari Ini Naik Rp 5.000, Simak Rinciannya",real
"Otorita IKN Sebut Pembangunan Kantor Presiden Capai 80 Persen",real
"Gunung Lewotobi Laki-laki Kembali Erupsi, Warga Diimbau Waspada",real
"IHSG Dibuka di Zona Hijau, Saham Sektor Energi Jadi Penopang",real
"Kemenkes Imbau Jemaah Haji Jaga Kesehatan di Tengah Cuaca Panas Ekstrem",real
"Menkeu Sri Mulyani Paparkan Realisasi APBN hingga Mei 2025",real
"Polda Jabar Gelar Rekonstruksi Ulang Kasus Pembunuhan Vina Cirebon",real
"Presiden Jokowi Tinjau Langsung Proyek Pompanisasi di Jawa Tengah",real
"Kemendikbudristek Luncurkan Platform Rapor Pendidikan 2.0",real
"Tiket Kereta Api untuk Libur Idul Adha Sudah Bisa Dipesan",real
"BPS: Inflasi Mei 2025 Tercatat Sebesar 0,05 Persen",real
"Panglima TNI Rotasi dan Mutasi Jabatan 50 Perwira Tinggi",real
"Kecelakaan Beruntun di Tol Cipali, 3 Orang Tewas",real
"Jokowi dan Prabowo Bertemu di Istana, Bahas Isu Strategis Bangsa",real
"Mendag Zulkifli Hasan Pastikan Stok Kebutuhan Pokok Aman Jelang Idul Adha",real
"Mahkamah Konstitusi Tolak Gugatan Sengketa Pileg di Papua",real
"BI Laporkan Cadangan Devisa Indonesia Naik pada Akhir Mei 2025",real
"PSSI Targetkan Timnas Indonesia Lolos ke Putaran Ketiga Kualifikasi Piala Dunia",real
"Kementerian PUPR Percepat Pembangunan Infrastruktur Dasar di IKN",real
"Prakiraan Cuaca BMKG: Sebagian Wilayah Indonesia Berpotensi Hujan Lebat",real
"PLN Jamin Pasokan Listrik Andal Selama Perayaan Idul Adha",real
"Menko PMK Muhadjir Effendy Tinjau Kesiapan Layanan Haji di Arab Saudi",real
"Polisi Tangkap Pelaku Utama Pengeroyokan Taruna STIP",real
"Pertamina Sesuaikan Harga BBM Nonsubsidi per 1 Juni 2025",real
"Komisi I DPR Setujui Anggaran Kementerian Pertahanan Tahun 2026",real
"Volume Penumpang di Bandara Soekarno-Hatta Diprediksi Meningkat 15 Persen",real
"Pemerintah Buka Opsi Impor Beras untuk Penuhi Stok Cadangan",real
"Atlet Bulu Tangkis Indonesia, Jonatan Christie, Maju ke Babak Perempat Final",real
"Kemenhub Terbitkan Aturan Baru soal Keselamatan Transportasi Darat",real
"Erick Thohir Minta BUMN Tingkatkan Kontribusi untuk Perekonomian Nasional",real
"Kebakaran Landa Kawasan Permukiman Padat di Jakarta Utara",real
"KPK Dalami Aliran Dana dalam Kasus Korupsi di Kementerian Pertanian",real
"Nilai Tukar Petani (NTP) Nasional Naik Tipis pada Mei 2025",real
"Presiden Resmikan Bendungan Ameroro di Sulawesi Tenggara",real
"Polri Kerahkan Ribuan Personel untuk Amankan Pilkada Serentak 2024",real
"OJK Terbitkan Aturan Baru tentang Tata Kelola Bank Umum",real
"KAI Daop 1 Jakarta Siapkan 8 Kereta Tambahan untuk Libur Panjang",real
"Bahlil Lahadalia Optimistis Target Investasi Tahun Ini Tercapai",real
"Menteri ATR/BPN Serahkan Sertifikat Tanah Elektronik kepada Warga",real
"Gempa Magnitudo 5,2 Guncang Wilayah Laut Maluku",real
"Satgas Pangan Polri Pastikan Distribusi Hewan Kurban Lancar",real
"Menparekraf Sandiaga Uno Ajak Pelaku Wisata Manfaatkan Teknologi Digital",real
"Pemerintah dan DPR Sepakati Asumsi Dasar Makroekonomi untuk RAPBN 2026",real
"Kasus Demam Berdarah di Sejumlah Daerah Menunjukkan Tren Peningkatan",real
"PPATK Blokir Ratusan Rekening Terkait Judi Online",real
"Jasa Marga Catat Peningkatan Volume Lalu Lintas di Ruas Tol Trans-Jawa",real
"Kemendag Blokir Ribuan Situs Web Perdagangan Ilegal",real
"Timnas Basket Indonesia Bersiap untuk Kualifikasi FIBA Asia Cup",real
"Mentan Amran Sulaiman Fokus pada Program Swasembada Pangan",real
"Longsor Terjadi di Jalur Puncak, Arus Lalu Lintas Dialihkan",real
