title,label
"[SALAH] Video “Detik-detik Tsunami di Mentawai 24 April 2023”",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Pj Bupati Landak",fake
"[SALAH] Jusuf Kalla Meminta Anies Menggandeng Ganjar di Pilpres 2024",fake
"[SALAH] Prabowo Subianto mendapatkan gelar “Jenderal Kehormatan” dari Presiden Korea Selatan",fake
"[SALAH] Ganjar Lari Pagi di GBK Hanya Ditemani Beberapa Orang",fake
"[SALAH] Surat Undangan Tes Calon Karyawan PT Angkasa Pura II",fake
"[SALAH] Ganjar Pranowo mengatakan “Kalau mau maju, ya, rakyatnya harus miskin”",fake
"[SALAH] Air Garam Hangat Dapat Menyembuhkan Sakit Gigi dalam 5 Menit",fake
"[SALAH] Akun Facebook “Bupati Sintang”",fake
"[SALAH] Foto “Kampanye Anies Baswedan di Pekanbaru Sepi Peminat”",fake
"[SALAH] Surya Paloh Menjadi Tersangka dalam Kasus Korupsi BTS Kominfo",fake
"[SALAH] Jusuf Kalla Meminta Jokowi Mundur karena Telah Gagal Mengurus Negara",fake
"[SALAH] Foto “Gibran Rakabuming Raka Menghadiri Acara Pernikahan Kaesang Pangarep Mengenakan Kaos Oblong”",fake
"[SALAH] Sri Mulyani Mengatakan Bahwa Gaji PNS dan Pensiunan Naik 20% pada Tahun 2024",fake
"[SALAH] Video “Full Pidato Asli Anies Baswedan di Depan Kader PKS”",fake
"[SALAH] Lowongan Kerja Bank Syariah Indonesia untuk Lulusan SMA/SMK Sederajat",fake
"[SALAH] Megawati Ancam Hancurkan Jakarta Jika Anies Menang Pilpres 2024",fake
"[SALAH] Video “Banjir Bandang Menerjang Kota Makkah”",fake
"[SALAH] Jokowi Mengatakan Bahwa Tidak Ada yang Bisa Menghentikan Dirinya untuk Menjabat 3 Periode",fake
"[SALAH] Menag Yaqut Cholil Qoumas Meminta Agar Pengeras Suara Masjid Dikurangi Menjadi 50 Desibel",fake
"[SALAH] Akun WhatsApp Mengatasnamakan Wakil Bupati Sintang",fake
"[SALAH] Anies Baswedan Mengatakan “Saya akan hapus semua angsuran jika saya jadi presiden”",fake
"[SALAH] Foto “Ribuan Warga Solo Menggeruduk Kantor Ganjar Pranowo”",fake
"[SALAH] Surat Panggilan Tes Wawancara Mengatasnamakan PT Pertamina Training & Consulting",fake
"[SALAH] Video “Gibran Rakabuming Raka Mengamuk dan Membanting Botol di Depan Kader PDIP”",fake
